fish i.d.,Species,Date of Capture,FL,European Age,Age Confidence(1-4),Andrew ages,comments,Catch Location
CK147,Chinook,7/25/19 0:02,73,0.2,3,0.2,,South Vancouver Island Trawl
CK148,Chinook,7/25/19 0:09,64,0.2,3,0.2,,All
CK149,Chinook,7/25/19 0:23,78,0.2,3,0.2,,
CK150,Chinook,7/25/19 0:26,78,1.3,3,1.3,distance between freshwater and first marine indicates yearling-AMC,
CK151,Chinook,7/25/19 0:30,68,0.2,3,0.2,,
CK152,Chinook,7/25/19 0:39,61,0.2,3,0.2,,
CK153,Chinook,7/25/19 0:46,52,0.3,3,0.3,,
CK154,Chinook,7/25/19 13:09,71,1.2,4,1.2,Hatchery fish-AMC,
CK155,Chinook,7/25/19 13:20,70,R,,R,No good scales,
CK156,Chinook,7/25/19 13:23,63,0.3,3,0.3,,
CK157,Chinook,7/25/19 13:30,79,0.3,3,0.3,,
CK158,Chinook,7/25/19 13:35,65,0.2,3,0.2,,
,,,,,,,,
CK160,Chinook,7/25/19 13:43,71,0.2,3,0.2,,
CK161,Chinook,7/25/19 13:50,69,R,,R,No good scales,
CK162,Chinook,7/25/19 13:55,67,0.2,3,0.2,,
CK163,Chinook,7/25/19 13:58,62,0.2,2,0.2,,
,,,,,,,,
CK165,Chinook,7/25/19 14:09,66,0.2,3,0.2,maybe 1.2-AMC,
CK166,Chinook,7/25/19 14:15,76,0.3,2,0.3,,
CK167,Chinook,7/25/19 14:19,67,0.2,4,0.2,,
CK168,Chinook,7/25/19 14:27,70,0.2,3,0.2,,
CK169,Chinook,7/25/19 14:31,92,0.3,3,0.3,,
CK170,Chinook,7/25/19 14:35,79,R,,R,No good scales,
CK171,Chinook,7/25/19 15:24,67,0.2,4,0.2,,
CK172,Chinook,7/25/19 15:57,83,R,,R,regen scale,
CK173,Chinook,7/25/19 16:00,78,0.3,4,0.3,,
CK174,Chinook,7/25/19 16:05,78,0.3,4,0.3,,
CK175,Chinook,7/25/19 16:09,72,0.2,2,R,,
CK176,Chinook,7/25/19 16:13,60,0.2,4,0.2,,
CK177,Chinook,7/25/19 16:17,72,0.3,4,0.3,,
CK178,Chinook,7/25/19 16:28,76,0.2,4,0.2,,
CK179,Chinook,7/25/19 16:33,79,0.3,4,0.3,,
CK180,Chinook,7/25/19 16:47,69,0.2,1,R,,
CK181,Chinook,7/25/19 16:51,78,0.3,4,0.3,,
CK182,Chinook,7/25/19 17:00,72,0.3,3,0.3,,
CK183,Chinook,7/25/19 17:06,63,R,,R,,
CK184,Chinook,7/25/19 17:17,71,0.2,2,0.2,,
CK185,Chinook,7/25/19 19:03,73,0.2,3,0.2,,
CK186,Chinook,7/25/19 19:08,82,R,,R,,
CK187,Chinook,7/25/19 19:28,63,0.2,4,0.2,,
CK188,Chinook,7/25/19 19:34,83,R,,R,,
CK189,Chinook,7/25/19 21:05,64,R,,R,,
CK190,Chinook,8/14/19 14:39,63,R,,R,,
CK191,Chinook,8/14/19 14:50,77,R,,R,,
CK192,Chinook,8/14/19 15:19,76,0.2,4,0.2,,
CK193,Chinook,8/14/19 15:51,74,0.2,4,0.2,,
CK194,Chinook,8/14/19 18:18,80,R,,R,,
CK195,Chinook,8/14/19 21:36,78,0.3,4,0.3,,
CK196,Chinook,8/14/19 21:57,77,0.3,4,0.3,,
CK197,Chinook,8/14/19 22:17,77,R,,R,,
CK198,Chinook,8/15/19 14:49,88,R,,R,,
CK199,Chinook,8/15/19 15:48,66,0.2,2,0.3,x,
CK200,Chinook,8/15/19 16:36,78,0.3,2,0.4,x,
CK201,Chinook,8/15/19 16:40,55,0.2,4,0.2,,
CK202,Chinook,8/15/19 17:13,82,0.3,4,0.3,,
CK203,Chinook,8/15/19 17:18,80,0.3,3,0.3,,
CK204,Chinook,8/15/19 17:23,87,R,,R,,
CK205,Chinook,8/15/19 17:34,70,0.2,4,0.2,,
CK206,Chinook,8/15/19 18:42,61,0.2,4,0.2,,
CK207,Chinook,8/15/19 18:52,61,R,,R,,
CK208,Chinook,8/15/19 19:28,77,1.2,3,1.2,,
CK209,Chinook,8/15/19 20:27,65,R,,R,,
CK210,Chinook,8/15/19 22:08,80,0.3,2,0.3,,
CK211,Chinook,8/15/19 22:15,81,0.3,4,0.3,,
CK212,Chinook,8/15/19 22:23,75,0.3,4,0.3,,
CK213,Chinook,8/15/19 22:40,62,0.2,4,0.2,,
CK214,Chinook,8/15/19 22:55,53,0.1,3,0.1,,
,,,,,,,,
CK216,Chinook,8/16/19 14:34,65,1.1,3,1.1,x,
CK217,Chinook,8/16/19 14:56,80,0.3,4,0.3,,
CK218,Chinook,8/16/19 14:59,62,R,,R,,
CK219,Chinook,8/16/19 15:36,80,0.3,4,0.3,,
CK220,Chinook,8/16/19 16:10,71,0.3,4,0.3,,
CK221,Chinook,8/16/19 17:04,72,0.2,4,0.2,,
,,,,,,,,
CK223,Chinook,8/16/19 18:00,79,0.3,4,0.3,,
CK224,Chinook,8/16/19 18:18,79,0.3,4,0.3,,
CK225,Chinook,8/16/19 18:32,54,0.2,4,0.2,,
CK226,Chinook,8/16/19 19:00,77,0.3,3,0.3,R-AMC,
CK227,Chinook,8/16/19 19:53,76,R,,R,,
CK228,Chinook,8/16/19 19:57,76,0.3,4,0.3,,
CK229,Chinook,8/16/19 20:52,70,0.2,4,0.2,,
CK230,Chinook,8/16/19 22:00,83,0.3,4,0.3,,
CK231,Chinook,8/23/19 15:52,60,0.2,3,0.2,,
CK232,Chinook,8/23/19 15:56,66,0.2,3,0.2,,
CK233,Chinook,8/23/19 16:02,55,0.2,4,0.2,,
,,,,,,,,
CK235,Chinook,8/23/19 16:12,57,R,,R,,
CK236,Chinook,8/23/19 16:19,61,R,,R,,
CK237,Chinook,8/23/19 16:24,62,0.2,4,0.2,,
CK238,Chinook,8/23/19 16:31,60,0.2,4,0.2,,
CK239,Chinook,8/23/19 16:35,60,0.2,4,0.2,,
CK240,Chinook,8/23/19 16:40,54,0.1,4,0.1,,
CK241,Chinook,8/23/19 16:45,64,0.2,4,0.2,,
CK242,Chinook,8/23/19 16:52,72,1.2,2,,x,
CK243,Chinook,8/23/19 17:02,63,R,,,,
CK244,Chinook,8/23/19 17:08,73,0.2,4,,,
CK245,Chinook,8/23/19 17:27,65,R,,,,
CK246,Chinook,8/23/19 18:25,63,0.2,4,,,
CK247,Chinook,8/23/19 19:00,80,0.3,4,,,
CK248,Chinook,8/23/19 19:04,74,0.3,3,,,
CK249,Chinook,8/23/19 19:35,63,0.2,3,0.2,,
CK250,Chinook,8/23/19 20:04,73,0.3,4,,,
CK251,Chinook,8/23/19 20:12,62,0.2,4,,,
CK252,Chinook,8/23/19 20:19,81,0.3,4,,,
CK253,Chinook,8/23/19 20:22,58,R,,,,
CK254,Chinook,8/23/19 20:32,84,0.3,4,,,
CK255,Chinook,8/23/19 20:47,72,0.3,2,,x,
CK256,Chinook,8/23/19 20:52,91,0.3,4,,,
CK257,Chinook,8/23/19 21:01,82,0.3,3,,x,
CK258,Chinook,8/23/19 21:16,65,R,,,,
CK259,Chinook,8/23/19 21:34,84,0.3,4,,,
CK260,Chinook,8/23/19 23:04,69,R,,,,
CK261,Chinook,8/23/19 23:11,78,0.3,2,,,
CK262,Chinook,8/24/19 0:21,85,0.3,4,,,
CK263,Chinook,8/24/19 0:33,73,0.3,3,,,
CK264,Chinook,8/24/19 0:53,63,0.2,4,,,
CK265,Chinook,8/24/19 1:01,70,0.3,2,,,
CK266,Chinook,8/24/19 14:03,57,R,,,,
CK267,Chinook,8/24/19 14:30,87,0.3,4,,,
CK268,Chinook,8/24/19 15:23,81,R,,,,
CK269,Chinook,8/24/19 15:32,75,0.3,3,,,
CK270,Chinook,8/24/19 15:47,60,0.2,4,,,
CK271,Chinook,8/24/19 15:51,70,0.2,3,,,
CK272,Chinook,8/24/19 15:54,67,0.2,3,,,
CK273,Chinook,8/24/19 15:57,65,R,,,,
CK274,Chinook,8/24/19 16:11,65,R,,,,
CK275,Chinook,8/24/19 16:27,63,0.2,3,,,
