"fl","year","stock","stock_aggregate","fw_age","ocean_age"
68,2020,"ABERNATHY_RIVER","Low Col.","0","2"
69,2020,"FEATHER_RIVER_FALL","Cali","0","2"
76,2020,"ABERNATHY_RIVER","Low Col.","1","2"
74,2020,"EUCHRE_CREEK","WA_OR","0","3"
82,2020,"LYON'S_FERRY","Up Col.","0","3"
74,2020,"DESCHUTES_RIVER","Up Col.","0","3"
94,2020,"CHILKO_RIVER","Fraser Year.","0","3"
85,2020,"LYON'S_FERRY","Up Col.","0","3"
74,2020,"CHILLIWACK_RIVER_fall","Fraser Fall","0","3"
60,2020,"SOOS_CREEK","Puget Sound","0","2"
60,2020,"SOOS_CREEK","Puget Sound","1","2"
59,2020,"FORKS_CREEK_HATCHERY","WA_OR","0","2"
82,2020,"SHUSWAP_RIVER-LOWER","Fraser 4.1","0","3"
61,2020,"THOMPSON_RIVER_BELOW_KAMLOOPS_LAKE","Fraser 4.1","0","2"
76,2020,"SHUSWAP_RIVER-LOWER","Fraser 4.1","0","3"
71,2020,"SOOS_CREEK","Puget Sound","0","3"
79,2020,"DESCHUTES_RIVER","Up Col.","0","3"
63,2020,"ROBERTSON_CREEK","WCVI","0","2"
54,2020,"SOOS_CREEK","Puget Sound","0","2"
63,2020,"ABERNATHY_RIVER","Low Col.","0","2"
67,2020,"DESCHUTES_RIVER","Up Col.","0","2"
69,2020,"SOOS_CREEK","Puget Sound","0","2"
73,2020,"LITTLE_RIVER","Fraser 4.1","0","3"
65,2020,"WHITE_RIVER","Puget Sound","0","2"
78,2020,"ABERNATHY_RIVER","Low Col.","0","2"
63,2020,"WENATCHEE_RIVER","Up Col.","0","2"
84,2020,"ADAMS_RIVER","Fraser 4.1","0","3"
71,2020,"ABERNATHY_RIVER","Low Col.","0","2"
76,2020,"ROBERTSON_CREEK","WCVI","0","3"
68,2020,"ABERNATHY_RIVER","Low Col.","0","2"
66,2020,"UMPQUA_SPRING","WA_OR","0","2"
79,2020,"ADAMS_RIVER","Fraser 4.1","0","3"
61,2020,"ABERNATHY_RIVER","Low Col.","0","2"
65,2020,"GREEN_RIVER","Puget Sound","0","2"
51,2020,"SOOS_CREEK","Puget Sound","0","2"
77,2020,"ABERNATHY_RIVER","Low Col.","1","2"
74,2020,"ABERNATHY_RIVER","Low Col.","0","2"
75,2020,"ABERNATHY_RIVER","Low Col.","0","2"
77,2020,"HANFORD_REACH","Up Col.","0","3"
