"term","estimate","std.error","conf.low","conf.high","dataset"
"depth_z",-0.265399053538047,0.061084419994803,-0.38512231674438,-0.145675790331715,"size"
"depth_z",-0.346820055792237,0.107085497307651,-0.556703773781793,-0.13693633780268,"stock"
"depth_z",-0.317952907717302,0.0969708004090078,-0.508012184070979,-0.127893631363624,"origin"
"poly(moon_z, 2)1",-8.72635426852414,2.18956753479012,-13.0178277784309,-4.43488075861735,"size"
"poly(moon_z, 2)1",-9.10234170716022,4.28693808111354,-17.504585950096,-0.700097464224431,"stock"
"poly(moon_z, 2)1",-6.06240077809765,2.90016031454386,-11.746610543996,-0.37819101219933,"origin"
"poly(moon_z, 2)2",-3.20057109894613,1.73968234652498,-6.61028584267523,0.209143644782968,"size"
"poly(moon_z, 2)2",8.6142975064649,3.78367388390071,1.19843296477473,16.0301620481551,"stock"
"poly(moon_z, 2)2",5.01882736829991,2.4260227956335,0.263910063185081,9.77374467341473,"origin"
"poly(slack_z, 2)1",0.413098493720119,1.55701341520139,-2.63859172352031,3.46478871096055,"size"
"poly(slack_z, 2)1",6.58545200146982,3.67929517572343,-0.625834031440083,13.7967380343797,"stock"
"poly(slack_z, 2)1",3.21580493146104,2.23310464813908,-1.16099975260055,7.59260961552263,"origin"
"poly(slack_z, 2)2",-2.10678010463207,1.76703349225313,-5.57010210892424,1.3565418996601,"size"
"poly(slack_z, 2)2",-8.69704525072188,4.09976743586213,-16.7324417700018,-0.661648731441986,"stock"
"poly(slack_z, 2)2",-5.17935586871252,2.51866094910283,-10.1158406182215,-0.242871119203499,"origin"
"slope_z",0.166549015593911,0.0583564676745438,0.0521724406868291,0.280925590500993,"size"
"slope_z",0.133679626228235,0.105986866305172,-0.0740508145641629,0.341410067020633,"stock"
"slope_z",0.101803827142235,0.0972207709762509,-0.0887453825204337,0.292353036804904,"origin"
"sunrise_z",0.0175612279075273,0.0259833943205901,-0.0333652891569317,0.0684877449719864,"size"
"sunrise_z",0.00835051190132821,0.0414879919414499,-0.0729644580948016,0.089665481897458,"stock"
"sunrise_z",0.00709795792272315,0.0405810928232493,-0.0724395224641223,0.0866354383095686,"origin"
